UNITID,EFTOTLT,EFTOTLM,EFTOTLW
100654,5020,2268,2752
100654,4051,1969,2082
100654,4051,1969,2082
100654,1103,541,562
100654,2948,1428,1520
100654,969,299,670
100654,166,77,89
100654,2782,1351,1431
100654,4439,2013,2426
100654,3799,1836,1963
100654,3799,1836,1963
100654,1088,532,556
100654,2711,1304,1407
100654,640,177,463
100654,152,72,80
100654,2559,1232,1327
100654,581,255,326
100654,252,133,119
100654,252,133,119
100654,15,9,6
100654,237,124,113
100654,329,122,207
100654,14,5,9
100654,223,119,104
100663,18568,7309,11259
100663,11502,4780,6722
100663,11200,4631,6569
100663,1773,717,1056
100663,9427,3914,5513
100663,302,149,153
100663,7066,2529,4537
100663,1397,550,847
100663,8030,3364,4666
100663,11961,5042,6919
100663,8357,3501,4856
100663,8312,3470,4842
100663,1732,697,1035
100663,6580,2773,3807
100663,45,31,14
100663,3604,1541,2063
100663,887,375,512
100663,5693,2398,3295
100663,6607,2267,4340
100663,3145,1279,1866
100663,2888,1161,1727
100663,41,20,21
100663,2847,1141,1706
100663,257,118,139
100663,3462,988,2474
100663,510,175,335
100663,2337,966,1371
100690,631,264,367
100690,322,126,196
100690,322,126,196
100690,7,2,5
100690,315,124,191
100690,309,138,171
100690,315,124,191
100690,323,133,190
100690,202,74,128
100690,202,74,128
100690,3,0,3
100690,199,74,125
100690,121,59,62
100690,199,74,125
100690,308,131,177
100690,120,52,68
100690,120,52,68
100690,4,2,2
100690,116,50,66
100690,188,79,109
100690,116,50,66
100706,7376,4136,3240
100706,5696,3177,2519
100706,5525,3083,2442
100706,651,396,255
100706,4874,2687,2187
100706,171,94,77
100706,1680,959,721
100706,705,380,325
100706,4169,2307,1862
100706,4802,2653,2149
100706,4237,2331,1906
100706,4202,2311,1891
100706,638,387,251
100706,3564,1924,1640
100706,35,20,15
100706,565,322,243
100706,546,285,261
100706,3018,1639,1379
100706,2574,1483,1091
100706,1459,846,613
100706,1323,772,551
100706,13,9,4
100706,1310,763,547
100706,136,74,62
100706,1115,637,478
100706,159,95,64
100706,1151,668,483
100724,6075,2399,3676
100724,5356,2188,3168
100724,5354,2187,3167
100724,1545,628,917
100724,3809,1559,2250
100724,2,1,1
100724,719,211,508
100724,223,95,128
100724,3586,1464,2122
100724,5182,2080,3102
100724,4872,1975,2897
100724,4871,1974,2897
100724,1520,621,899
100724,3351,1353,1998
100724,1,1,0
100724,310,105,205
100724,198,86,112
100724,3153,1267,1886
100724,893,319,574
100724,484,213,271
100724,483,213,270
100724,25,7,18
100724,458,206,252
100724,1,0,1
100724,409,106,303
100724,25,9,16
100724,433,197,236
100751,34752,15763,18989
100751,29440,13556,15884
100751,28692,13214,15478
100751,6454,2830,3624
100751,22238,10384,11854
100751,748,342,406
100751,5312,2207,3105
100751,1474,702,772
100751,20764,9682,11082
100751,29498,13662,15836
100751,26548,12353,14195
100751,26247,12160,14087
100751,6428,2820,3608
100751,19819,9340,10479
100751,301,193,108
100751,2950,1309,1641
100751,1144,586,558
100751,18675,8754,9921
100751,5254,2101,3153
100751,2892,1203,1689
100751,2445,1054,1391
100751,26,10,16
100751,2419,1044,1375
100751,447,149,298
100751,2362,898,1464
100751,330,116,214
100751,2089,928,1161
100760,1906,738,1168
100760,1906,738,1168
100760,1779,656,1123
100760,561,258,303
100760,1218,398,820
100760,127,82,45
100760,90,32,58
100760,1128,366,762
100760,953,421,532
100760,953,421,532
100760,950,419,531
100760,470,216,254
100760,480,203,277
100760,3,2,1
100760,45,24,21
100760,435,179,256
100760,953,317,636
100760,953,317,636
100760,829,237,592
100760,91,42,49
100760,738,195,543
100760,124,80,44
100760,45,8,37
100760,693,187,506
100812,3170,1107,2063
100812,3170,1107,2063
100812,2999,1049,1950
100812,2999,1049,1950
100812,171,58,113
100812,738,259,479
100812,2261,790,1471
