UNITID,EFRES01,EFRES02 
100663,1529,1479
100663,1,1
100663,2,2
100663,4,4
100663,2,2
100663,1,1
100663,25,23
100663,56,56
100663,1,1
100663,12,11
100663,4,4
100663,2,2
100663,1,1
100663,4,3
100663,5,5
100663,2,2
100663,3,2
100663,21,21
100663,4,4
100663,1,1
100663,1,1
100663,4,4
100663,1,1
100663,1,1
100663,5,5
100663,1,1
100663,2,1
100663,4,4
100663,1,1
100663,2,2
100663,1,1
100663,32,31
100663,10,10
100663,4,4
100663,4,4
100663,1,1
100663,1754,1697
100663,19,12
100663,1773,1709
100706,514,493
100706,1,1
100706,1,1
100706,1,1
100706,3,3
100706,4,4
100706,1,1
100706,11,11
100706,1,0
100706,1,0
100706,1,1
100706,1,1
100706,1,1
100706,2,2
100706,3,3
100706,1,1
100706,1,1
100706,1,0
100706,54,53
100706,2,2
100706,1,1
100706,18,18
100706,624,599
100706,27,17
100706,651,616
100724,903,549
100724,2,2
100724,32,8
100724,2,1
100724,1,1
100724,2,0
100724,7,2
100724,72,53
100724,267,183
100724,38,28
100724,7,5
100724,2,2
100724,2,1
100724,6,2
100724,2,0
100724,7,1
100724,34,20
100724,1,0
100724,7,3
100724,6,5
100724,1,0
100724,3,3
100724,5,0
100724,2,2
100724,18,15
100724,1,0
100724,2,0
100724,12,10
100724,6,3
100724,16,14
100724,4,1
100724,1,1
100724,2,1
100724,4,0
100724,1477,916
100724,1,1
100724,1,1
100724,67,0
100724,1545,917
100751,2578,2573
100751,6,6
100751,42,40
100751,14,14
100751,206,205
100751,52,52
100751,54,53
100751,8,8
100751,5,5
100751,356,354
100751,533,533
100751,4,4
100751,2,2
100751,194,194
100751,59,59
100751,13,13
100751,25,24
100751,72,72
100751,76,76
100751,2,2
100751,117,117
100751,51,51
100751,60,60
100751,7,7
100751,78,78
100751,76,76
100751,3,3
100751,6,6
100751,13,13
100751,108,108
100751,5,5
100751,102,101
100751,159,158
100751,1,1
100751,100,100
100751,11,11
100751,7,7
100751,123,123
100751,5,5
100751,73,73
100751,312,312
100751,366,366
100751,3,3
100751,3,3
100751,140,140
100751,18,18
100751,9,9
100751,24,24
100751,1,1
100751,10,10
100751,6292,6278
100751,162,162
100751,6454,6440
100760,554,298
100760,4,2
100760,3,1
100760,561,301
100760,561,301
100830,635,445
100830,1,0
100830,4,3
100830,5,5
100830,3,3
100830,1,1
100830,2,2
100830,20,2
100830,671,461
100830,671,461
100858,2334,2330
100858,2,2
100858,34,34
100858,9,9
100858,10,10
100858,2,2
